commande_id,client_id,date_commande,statut,canal,montant_total,frais_livraison,montant_remise,date_expedition,date_livraison
1,3,2023-01-05,Livré,SEO,749.98,0.00,0.00,2023-01-07,2023-01-10
2,7,2023-01-08,Livré,Email,79.98,4.99,0.00,2023-01-10,2023-01-13
3,12,2023-01-12,Livré,Direct,199.99,0.00,20.00,2023-01-14,2023-01-17
4,1,2023-01-15,Livré,Pub,269.98,0.00,0.00,2023-01-17,2023-01-20
5,19,2023-01-20,Livré,SEO,44.97,4.99,0.00,2023-01-22,2023-01-25
6,5,2023-02-02,Livré,Email,149.99,0.00,15.00,2023-02-04,2023-02-07
7,23,2023-02-07,Livré,Direct,89.98,4.99,0.00,2023-02-09,2023-02-12
8,9,2023-02-11,Livré,SEO,1099.99,0.00,0.00,2023-02-13,2023-02-16
9,14,2023-02-18,Livré,Pub,64.97,4.99,0.00,2023-02-20,2023-02-23
10,2,2023-02-24,Livré,Email,329.99,0.00,33.00,2023-02-26,2023-03-01
11,17,2023-03-03,Livré,SEO,109.98,0.00,0.00,2023-03-05,2023-03-08
12,6,2023-03-09,Livré,Direct,249.99,0.00,0.00,2023-03-11,2023-03-14
13,25,2023-03-15,Livré,Pub,174.97,4.99,0.00,2023-03-17,2023-03-20
14,11,2023-03-22,Livré,Email,599.99,0.00,60.00,2023-03-24,2023-03-27
15,28,2023-04-01,Livré,SEO,49.98,4.99,0.00,2023-04-03,2023-04-06
16,4,2023-04-07,Livré,Direct,139.98,0.00,0.00,2023-04-09,2023-04-12
17,20,2023-04-14,Livré,Pub,84.98,4.99,0.00,2023-04-16,2023-04-19
18,8,2023-04-20,Annulé,Email,349.99,0.00,0.00,,
19,15,2023-04-27,Livré,SEO,224.98,0.00,0.00,2023-04-29,2023-05-02
20,22,2023-05-04,Livré,Direct,39.98,4.99,0.00,2023-05-06,2023-05-09
21,10,2023-05-10,Livré,Email,799.98,0.00,80.00,2023-05-12,2023-05-15
22,27,2023-05-17,Retourné,SEO,119.99,4.99,0.00,2023-05-19,2023-05-22
23,3,2023-05-24,Livré,Pub,54.98,0.00,0.00,2023-05-26,2023-05-29
24,16,2023-06-01,Livré,Direct,179.98,0.00,18.00,2023-06-03,2023-06-06
25,29,2023-06-08,Livré,Email,29.99,4.99,0.00,2023-06-10,2023-06-13
26,1,2023-06-15,Livré,SEO,449.98,0.00,0.00,2023-06-17,2023-06-20
27,13,2023-06-22,Annulé,Pub,74.98,4.99,0.00,,
28,24,2023-07-01,Livré,Direct,129.98,0.00,0.00,2023-07-03,2023-07-06
29,18,2023-07-08,Livré,Email,699.98,0.00,70.00,2023-07-10,2023-07-13
30,7,2023-07-15,Livré,SEO,34.99,4.99,0.00,2023-07-17,2023-07-20
31,21,2023-07-22,Livré,Direct,269.98,0.00,0.00,2023-07-24,2023-07-27
32,5,2023-08-01,Livré,Pub,159.98,0.00,0.00,2023-08-03,2023-08-06
33,26,2023-08-08,Retourné,Email,89.99,4.99,0.00,2023-08-10,2023-08-13
34,9,2023-08-15,Livré,SEO,399.98,0.00,40.00,2023-08-17,2023-08-20
35,2,2023-08-22,Livré,Direct,44.98,4.99,0.00,2023-08-24,2023-08-27
36,14,2023-09-01,Livré,Pub,249.99,0.00,0.00,2023-09-03,2023-09-06
37,30,2023-09-08,Livré,Email,19.99,4.99,0.00,2023-09-10,2023-09-13
38,11,2023-09-15,Livré,SEO,549.98,0.00,55.00,2023-09-17,2023-09-20
39,23,2023-09-22,Annulé,Direct,149.99,0.00,0.00,,
40,17,2023-10-01,Livré,Pub,74.98,4.99,0.00,2023-10-03,2023-10-06
41,6,2023-10-08,Livré,Email,1299.99,0.00,130.00,2023-10-10,2023-10-13
42,28,2023-10-15,Livré,SEO,64.98,4.99,0.00,2023-10-17,2023-10-20
43,4,2023-10-22,Livré,Direct,199.98,0.00,0.00,2023-10-24,2023-10-27
44,19,2023-11-01,Livré,Pub,89.98,0.00,0.00,2023-11-03,2023-11-06
45,12,2023-11-08,Livré,Email,449.98,0.00,45.00,2023-11-10,2023-11-13
46,25,2023-11-15,Livré,SEO,34.98,4.99,0.00,2023-11-17,2023-11-20
47,8,2023-11-22,Livré,Direct,599.99,0.00,0.00,2023-11-24,2023-11-27
48,15,2023-12-01,Livré,Pub,179.98,0.00,18.00,2023-12-03,2023-12-06
49,20,2023-12-08,Livré,Email,129.98,4.99,0.00,2023-12-10,2023-12-13
50,1,2023-12-15,Livré,SEO,999.98,0.00,100.00,2023-12-17,2023-12-20
