ligne_id,commande_id,produit_id,quantite,prix_unitaire,remise_ligne
1,1,1,1,599.99,0.00
2,1,3,1,149.99,0.00
3,2,5,2,19.99,0.00
4,2,11,2,6.99,0.00
5,2,27,1,12.99,0.00
6,3,13,1,199.99,20.00
7,4,4,1,249.99,0.00
8,4,20,1,79.99,0.00
9,5,11,3,6.99,0.00
10,5,12,1,12.99,0.00
11,5,17,1,29.99,0.00
12,6,3,1,149.99,15.00
13,7,8,1,119.99,0.00
14,7,27,1,12.99,0.00
15,7,11,1,6.99,0.00
16,7,12,1,12.99,0.00
17,8,2,1,1099.99,0.00
18,9,9,2,14.99,0.00
19,9,27,1,12.99,0.00
20,9,11,1,6.99,0.00
21,10,19,1,329.99,33.00
22,11,7,1,89.99,0.00
23,11,16,1,34.99,0.00
24,12,4,1,249.99,0.00
25,13,6,1,59.99,0.00
26,13,16,1,34.99,0.00
27,13,17,1,29.99,0.00
28,13,27,1,12.99,0.00
29,14,1,1,599.99,60.00
30,15,26,1,32.99,0.00
31,15,27,1,12.99,0.00
32,16,7,1,89.99,0.00
33,16,21,1,29.99,0.00
34,17,5,2,19.99,0.00
35,17,16,1,34.99,0.00
36,18,14,1,349.99,0.00
37,19,4,1,249.99,0.00
38,19,20,1,79.99,0.00
39,20,11,2,6.99,0.00
40,20,26,1,32.99,0.00
41,21,2,1,1099.99,80.00
42,21,29,1,19.99,0.00
43,21,20,1,79.99,0.00
44,22,8,1,119.99,0.00
45,23,17,1,29.99,0.00
46,23,26,1,32.99,0.00
47,24,6,2,59.99,18.00
48,24,27,1,12.99,0.00
49,25,9,2,14.99,0.00
50,26,1,1,599.99,0.00
51,26,3,1,149.99,0.00
52,27,5,2,19.99,0.00
53,27,17,1,29.99,0.00
54,28,8,1,119.99,0.00
55,28,16,1,34.99,0.00
56,29,2,1,1099.99,70.00
57,29,29,1,19.99,0.00
58,30,9,1,14.99,0.00
59,30,11,2,6.99,0.00
60,30,27,1,12.99,0.00
61,31,4,1,249.99,0.00
62,31,20,1,79.99,0.00
63,32,7,1,89.99,0.00
64,32,21,1,29.99,0.00
65,32,17,1,29.99,0.00
66,33,8,1,89.99,0.00
67,34,1,1,599.99,40.00
68,34,20,1,79.99,0.00
69,35,11,2,6.99,0.00
70,35,27,2,12.99,0.00
71,36,4,1,249.99,0.00
72,37,9,1,14.99,0.00
73,38,1,1,599.99,55.00
74,38,29,1,19.99,0.00
75,38,3,1,149.99,0.00
76,40,5,2,19.99,0.00
77,40,17,1,29.99,0.00
78,41,18,1,1299.99,130.00
79,42,26,1,32.99,0.00
80,42,27,2,12.99,0.00
81,43,7,1,89.99,0.00
82,43,21,1,29.99,0.00
83,43,16,1,34.99,0.00
84,44,8,1,89.99,0.00
85,44,17,1,29.99,0.00
86,45,1,1,599.99,45.00
87,45,3,1,149.99,0.00
88,46,11,2,6.99,0.00
89,46,27,1,12.99,0.00
90,47,2,1,599.99,0.00
91,48,6,2,59.99,18.00
92,48,27,1,12.99,0.00
93,49,8,1,119.99,0.00
94,49,16,1,34.99,0.00
95,50,2,1,1099.99,100.00
96,50,29,2,19.99,0.00
97,50,20,1,79.99,0.00
