retour_id,commande_id,produit_id,client_id,date_retour,motif,montant_rembourse
1,22,8,27,2023-05-25,Défaut,119.99
2,33,8,26,2023-08-16,Défaut,89.99
3,18,14,8,2023-04-22,Changement d'avis,349.99
4,27,5,13,2023-06-25,Erreur,39.98
5,39,3,23,2023-09-24,Défaut,149.99
6,2,27,7,2023-01-15,Changement d'avis,12.99
7,9,9,14,2023-02-25,Erreur,14.99
8,13,17,25,2023-03-22,Défaut,29.99
9,20,26,22,2023-05-11,Changement d'avis,32.99
10,25,9,29,2023-06-15,Erreur,14.99
11,30,27,7,2023-07-22,Défaut,12.99
12,35,11,2,2023-08-29,Changement d'avis,6.99
13,37,9,30,2023-09-14,Erreur,14.99
14,40,5,17,2023-10-07,Défaut,19.99
15,42,26,28,2023-10-21,Changement d'avis,32.99
16,46,11,25,2023-11-21,Erreur,6.99
17,49,16,20,2023-12-14,Défaut,34.99
18,3,13,12,2023-01-18,Changement d'avis,179.99
19,7,12,23,2023-02-13,Erreur,12.99
20,15,27,28,2023-04-08,Défaut,12.99
21,19,20,15,2023-05-04,Changement d'avis,79.99
22,24,6,16,2023-06-09,Défaut,59.99
23,28,16,24,2023-07-08,Erreur,34.99
24,32,21,5,2023-08-08,Changement d'avis,29.99
25,43,7,4,2023-10-28,Défaut,89.99
