visite_id,client_id,date_visite,canal,pages_vues,duree_secondes,a_converti,device
1,3,2023-01-04,SEO,8,420,true,desktop
2,7,2023-01-07,Email,5,280,true,mobile
3,12,2023-01-11,Direct,12,650,true,desktop
4,1,2023-01-14,Pub,6,310,true,tablet
5,19,2023-01-19,SEO,4,190,true,mobile
6,5,2023-02-01,Email,9,480,true,desktop
7,23,2023-02-06,Direct,7,350,true,mobile
8,9,2023-02-10,SEO,15,820,true,desktop
9,14,2023-02-17,Pub,5,260,true,mobile
10,2,2023-02-23,Email,11,590,true,desktop
11,17,2023-03-02,SEO,6,320,true,mobile
12,6,2023-03-08,Direct,10,540,true,desktop
13,25,2023-03-14,Pub,7,380,true,tablet
14,11,2023-03-21,Email,13,700,true,desktop
15,28,2023-03-31,SEO,4,210,true,mobile
16,4,2023-04-06,Direct,8,430,true,desktop
17,20,2023-04-13,Pub,5,270,true,mobile
18,8,2023-04-19,Email,9,490,false,desktop
19,15,2023-04-26,SEO,11,580,true,desktop
20,22,2023-05-03,Direct,6,330,true,mobile
21,10,2023-05-09,Email,14,750,true,desktop
22,27,2023-05-16,SEO,7,370,false,mobile
23,3,2023-05-23,Pub,5,260,true,tablet
24,16,2023-05-31,Direct,9,470,true,desktop
25,29,2023-06-07,Email,4,200,true,mobile
26,1,2023-06-14,SEO,12,630,true,desktop
27,13,2023-06-21,Pub,6,310,false,mobile
28,24,2023-06-30,Direct,8,420,true,desktop
29,18,2023-07-07,Email,11,580,true,tablet
30,7,2023-07-14,SEO,5,250,true,mobile
31,21,2023-07-21,Direct,9,460,true,desktop
32,5,2023-07-31,Pub,7,360,true,mobile
33,26,2023-08-07,Email,6,320,false,desktop
34,9,2023-08-14,SEO,13,680,true,desktop
35,2,2023-08-21,Direct,5,240,true,mobile
36,14,2023-08-31,Pub,8,410,true,tablet
37,30,2023-09-07,Email,4,190,true,mobile
38,11,2023-09-14,SEO,12,640,true,desktop
39,23,2023-09-21,Direct,7,360,false,mobile
40,17,2023-09-30,Pub,5,270,true,desktop
41,6,2023-10-07,Email,16,850,true,desktop
42,28,2023-10-14,SEO,6,310,true,mobile
43,4,2023-10-21,Direct,9,470,true,desktop
44,19,2023-10-31,Pub,5,260,true,mobile
45,12,2023-11-07,Email,13,690,true,tablet
46,25,2023-11-14,SEO,4,200,true,mobile
47,8,2023-11-21,Direct,10,530,true,desktop
48,15,2023-11-30,Pub,7,370,true,mobile
49,20,2023-12-07,Email,6,310,true,desktop
50,1,2023-12-14,SEO,15,790,true,desktop
51,10,2023-01-10,SEO,3,150,false,mobile
52,16,2023-02-15,Direct,2,90,false,mobile
53,22,2023-03-20,Pub,4,180,false,desktop
54,29,2023-04-25,Email,3,140,false,mobile
55,24,2023-05-30,SEO,5,230,false,tablet
56,13,2023-07-05,Direct,2,100,false,mobile
57,26,2023-08-20,Pub,3,160,false,desktop
58,30,2023-09-25,Email,4,200,false,mobile
59,21,2023-10-15,SEO,3,130,false,mobile
60,27,2023-11-28,Direct,2,110,false,desktop
